mtWmPoiId,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,name
2316459,17,48,30,4,15,false,false,1,false,赞ing斜杠青年餐厅
1710437,54,48,37,6,20,true,false,0,true,千鹤居酒屋（五道口店）
833855,465,45,35,3,0,false,false,0,false,老北京卤煮（中关村店）
2324194,44,46,30,3,15,false,false,0,false,小馋猫烤肉拌饭·脆皮鸡拌饭
1985257,1020,45,32,5,0,false,false,0,false,蜀乡美食（万泉庄店）
2051525,218,48,58,2,50,false,false,0,false,暖心料理炸鸡
203226,72,45,30,6,20,true,false,0,true,吞云小莳(西苑星悦荟店)
599812,1066,48,30,8,20,true,false,0,true,庆丰包子铺（万泉河店）
522848,1715,47,56,20,50,true,false,0,false,麻尚送麻辣香锅（五道口店）
2336261,481,48,30,3,0,false,false,0,false,乌煎道黑龙茶
1187249,629,48,33,4,0,true,false,0,false,姜小灶de鲜汁捞饭（五道口店）
2131335,185,44,34,4,0,false,false,0,false,川味居(原重庆美食)
702711,204,45,53,8,30,false,false,0,false,灿阳斋黄焖鸡（原水城）
1953070,59,46,38,3,15,false,false,0,false,茶太良品（中关村店）
345425,104,48,30,7,20,false,false,0,true,颐香园
1779518,1102,47,37,2,0,false,false,0,false,金手勺（中关村店）
622845,246,47,33,6,20,false,false,0,true,熊家韩国料理
2368301,2,0,55,3,0,false,false,1,false,汗中凉皮（中关村店）
489029,2674,48,35,4,0,true,false,0,false,四云奶盖贡茶（漾漾好）五道口店
2068916,102,48,30,6,20,false,false,0,true,幸世不思议の炸物
1347007,62,48,39,3,0,false,false,0,false,麦多馅饼（苏州街店）
55514,283,46,36,3,20,false,false,0,false,戈壁人家米粉（中关村店）
2263874,201,42,33,3,0,false,false,0,false,筷客花蛤（中关村店）
175812,80,46,34,6,20,false,false,0,true,呀咪咖喱屋（中关村店）
636515,58,50,30,6,20,true,false,0,true,拿渡麻辣香锅(西苑龙湖店)
2397455,0,0,55,4,0,false,false,1,false,米堡工厂（五道口店）
