lng,lat,mtWmPoiId,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,name
116.32000000000001,39.94,1757868,3303,48,36,4,0,true,false,0,false,"小火慢炖排骨米饭"
116.32000000000001,39.94,2043954,3079,48,38,5,15,true,false,0,false,"缘来赫赫小厨麻辣香锅（人民大学店）"
116.32000000000001,39.94,819242,3016,45,37,3,15,true,false,0,false,"小暖便当（紫竹桥店）"
116.32000000000001,39.94,508811,2987,45,31,4,0,false,false,0,false,"辣妹子湘菜馆（展览路店）"
116.33,39.94,721751,9413,45,35,5,15,true,false,0,false,"张亮麻辣烫（大钟寺店）"
116.33,39.94,971211,9184,45,31,3,15,true,false,0,false,"田老师红烧肉(海淀交大店)"
116.33,39.94,114591,7771,48,39,8,40,true,false,0,false,"德克士（阜成门店）"
116.33,39.94,164948,6351,48,61,6,20,true,false,0,false,"果腿儿鲜果切"
116.33,39.94,1185563,6057,47,34,3,15,true,false,0,false,"凉皮先生（西直门凯德店）"
116.33,39.94,1264698,5912,45,37,5,15,false,false,0,false,"云南过桥米线（人大店）"
116.33,39.94,19177,5836,47,67,20,0,true,false,0,false,"麻辣诱惑·麻辣小龙虾·麻小外卖"
116.33,39.94,12721,5749,48,37,26,0,false,false,0,false,"极速汉堡"
116.33,39.94,1625164,5632,46,35,4,0,true,false,0,false,"小火慢炖排骨米饭（四道口店）"
116.33,39.94,998212,5467,47,36,6,20,false,false,0,false,"小俩口烤肉拌饭"
116.33,39.94,943862,5185,47,68,6,0,true,false,0,false,"老婆很芒"
116.33,39.94,576322,5009,47,37,6,20,false,false,0,false,"湘香小厨"
116.33,39.94,339510,4890,46,35,4,15,true,false,0,false,"张亮麻辣烫（厂洼店）"
116.33,39.94,17765,4707,46,36,5,15,false,false,0,false,"东北特味"
116.33,39.94,1241688,4276,46,38,5,15,false,false,0,false,"食邑韩舍石锅拌饭"
116.33,39.94,1331286,4065,48,34,4,15,true,false,0,false,"原味觉醒·健康餐（四道口店）"
116.33,39.94,1675697,3967,47,37,5,15,false,false,0,false,"台式脆皮鸡排饭"
116.33,39.94,651617,3946,47,34,3,15,false,false,0,false,"东北老杨麻辣拌"
116.33,39.94,1820333,3913,48,33,3,15,true,false,0,false,"虾饭先生（西直门店）"
116.33,39.94,1477504,3770,46,32,3,15,true,false,0,false,"张亮麻辣烫（魏公村店）"
116.33,39.94,1081706,3564,48,61,8,0,true,false,0,false,"果腿儿鲜果切"
116.33,39.94,1267029,3526,43,39,4,15,false,false,0,false,"一锅鲜麻辣香锅"
116.33,39.94,2422,3517,43,41,4.5,25,false,false,0,false,"木桶传奇"
116.33,39.94,1965621,3509,47,37,6,20,true,false,0,true,"金渝川菜（交大店）"
116.33,39.94,1841420,3472,47,34,3,15,false,false,0,false,"张亮麻辣烫（紫竹桥店）"
116.34,39.94,721751,9413,45,35,4,15,true,false,0,false,"张亮麻辣烫（大钟寺店）"
116.34,39.94,971211,9184,45,31,3,15,true,false,0,false,"田老师红烧肉(海淀交大店)"
116.34,39.94,114591,7771,48,39,4,25,true,false,0,false,"德克士（阜成门店）"
116.34,39.94,164948,6351,48,61,6,20,true,false,0,false,"果腿儿鲜果切"
116.34,39.94,1185563,6057,47,34,3,15,true,false,0,false,"凉皮先生（西直门凯德店）"
116.34,39.94,1010346,5847,47,39,6,0,false,false,0,false,"dudu私房煲仔饭"
116.34,39.94,575,5844,46,33,4,20,true,false,0,false,"金百万美食MALL（四道口店）"
116.34,39.94,19177,5836,47,67,20,0,true,false,0,false,"麻辣诱惑·麻辣小龙虾·麻小外卖"
116.34,39.94,12721,5749,48,37,26,0,false,false,0,false,"极速汉堡"
116.34,39.94,998212,5467,47,36,8,30,false,false,0,false,"小俩口烤肉拌饭"
116.34,39.94,943862,5185,47,68,8,0,true,false,0,false,"老婆很芒"
116.34,39.94,339510,4890,46,35,5,15,true,false,0,false,"张亮麻辣烫（厂洼店）"
116.34,39.94,70387,4520,45,35,4,0,false,false,0,false,"黄焖鸡米饭（西直门店）"
116.34,39.94,1241688,4276,46,38,5,15,false,false,0,false,"食邑韩舍石锅拌饭"
116.34,39.94,1331286,4065,48,34,4,15,true,false,0,false,"原味觉醒·健康餐（四道口店）"
116.34,39.94,1675697,3967,47,37,5,15,false,false,0,false,"台式脆皮鸡排饭"
116.34,39.94,651617,3946,47,34,4,15,false,false,0,false,"东北老杨麻辣拌"
116.34,39.94,1820333,3913,48,33,3,15,true,false,0,false,"虾饭先生（西直门店）"
116.34,39.94,1081706,3564,48,61,8,0,true,false,0,false,"果腿儿鲜果切"
116.34,39.94,1267029,3526,43,39,5,15,false,false,0,false,"一锅鲜麻辣香锅"
116.34,39.94,2422,3517,43,41,4.5,25,false,false,0,false,"木桶传奇"
